sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
1285200;-1;-1;-1;-1;-1;-1;15.01.2018 20:59
1288800;-1;-1;-1;-1;-1;-1;15.01.2018 21:59
1292400;-1;-1;-1;-1;-1;-1;15.01.2018 22:59
1296000;-1;-1;-1;-1;-1;-1;15.01.2018 23:59
1299600;-1;-1;-1;-1;-1;-1;16.01.2018 00:59
1303200;-1;-1;-1;-1;-1;-1;16.01.2018 01:59
1306800;-1;-1;-1;-1;-1;-1;16.01.2018 02:59
1310400;-1;-1;-1;-1;-1;-1;16.01.2018 03:59
1314000;-1;-1;-1;-1;-1;-1;16.01.2018 04:59
1317600;-1;-1;-1;-1;-1;-1;16.01.2018 05:59
1321200;-1;-1;-1;-1;-1;-1;16.01.2018 06:59
1324800;-1;-1;-1;-1;-1;-1;16.01.2018 07:59
1328400;-1;-1;-1;-1;-1;-1;16.01.2018 08:59
1332000;-1;-1;-1;-1;-1;-1;16.01.2018 09:59
1335600;-1;-1;-1;-1;-1;-1;16.01.2018 10:59
1339200;-1;-1;-1;-1;-1;-1;16.01.2018 11:59
1342800;-1;-1;-1;-1;-1;-1;16.01.2018 12:59
1346400;-1;-1;-1;-1;-1;-1;16.01.2018 13:59
1350000;-1;-1;-1;-1;-1;-1;16.01.2018 14:59
1353600;-1;-1;-1;-1;-1;-1;16.01.2018 15:59
1357200;-1;-1;-1;-1;-1;-1;16.01.2018 16:59
1360800;-1;-1;-1;-1;-1;-1;16.01.2018 17:59
1364400;-1;-1;-1;-1;-1;-1;16.01.2018 18:59
1368000;-1;-1;-1;-1;-1;-1;16.01.2018 19:59
1371600;-1;-1;-1;-1;-1;-1;16.01.2018 20:59
1375200;-1;-1;-1;-1;-1;-1;16.01.2018 21:59
1378800;-1;-1;-1;-1;-1;-1;16.01.2018 22:59
1382400;-1;-1;-1;-1;-1;-1;16.01.2018 23:59
1386000;-1;-1;-1;-1;-1;-1;17.01.2018 00:59
1389600;-1;-1;-1;-1;-1;-1;17.01.2018 01:59
1393200;-1;-1;-1;-1;-1;-1;17.01.2018 02:59
1396800;-1;-1;-1;-1;-1;-1;17.01.2018 03:59
1400400;-1;-1;-1;-1;-1;-1;17.01.2018 04:59
1404000;-1;-1;-1;-1;-1;-1;17.01.2018 05:59
1407600;-1;-1;-1;-1;-1;-1;17.01.2018 06:59
1411200;-1;-1;-1;-1;-1;-1;17.01.2018 07:59
1414800;-1;-1;-1;-1;-1;-1;17.01.2018 08:59
1418400;-1;-1;-1;-1;-1;-1;17.01.2018 09:59
1422000;-1;-1;-1;-1;-1;-1;17.01.2018 10:59
1425600;-1;-1;-1;-1;-1;-1;17.01.2018 11:59
1429200;-1;-1;-1;-1;-1;-1;17.01.2018 12:59
1432800;-1;-1;-1;-1;-1;-1;17.01.2018 13:59
1436400;-1;-1;-1;-1;-1;-1;17.01.2018 14:59
1440000;-1;-1;-1;-1;-1;-1;17.01.2018 15:59
1443600;-1;-1;-1;-1;-1;-1;17.01.2018 16:59
1447200;-1;-1;-1;-1;-1;-1;17.01.2018 17:59
1450800;-1;-1;-1;-1;-1;-1;17.01.2018 18:59
1454400;-1;-1;-1;-1;-1;-1;17.01.2018 19:59
1458000;-1;-1;-1;-1;-1;-1;17.01.2018 20:59
1461600;-1;-1;-1;-1;-1;-1;17.01.2018 21:59
1465200;-1;-1;-1;-1;-1;-1;17.01.2018 22:59
1468800;-1;-1;-1;-1;-1;-1;17.01.2018 23:59
1472400;-1;-1;-1;-1;-1;-1;18.01.2018 00:59
1476000;-1;-1;-1;-1;-1;-1;18.01.2018 01:59
1479600;-1;-1;-1;-1;-1;-1;18.01.2018 02:59
1483200;-1;-1;-1;-1;-1;-1;18.01.2018 03:59
1486800;-1;-1;-1;-1;-1;-1;18.01.2018 04:59
1490400;-1;-1;-1;-1;-1;-1;18.01.2018 05:59
1494000;-1;-1;-1;-1;-1;-1;18.01.2018 06:59
1497600;-1;-1;-1;-1;-1;-1;18.01.2018 07:59
1501200;-1;-1;-1;-1;-1;-1;18.01.2018 08:59
1504800;-1;-1;-1;-1;-1;-1;18.01.2018 09:59
1508400;-1;-1;-1;-1;-1;-1;18.01.2018 10:59
1512000;-1;-1;-1;-1;-1;-1;18.01.2018 11:59
1515600;-1;-1;-1;-1;-1;-1;18.01.2018 12:59
1519200;-1;-1;-1;-1;-1;-1;18.01.2018 13:59
1522800;-1;-1;-1;-1;-1;-1;18.01.2018 14:59
1526400;-1;-1;-1;-1;-1;-1;18.01.2018 15:59
