HOUR;E_th_RH_HH;E_th_TWE_HH;E_el_HH;E_th_RH_GHD;E_th_TWE_GHD;E_el_GHD;E_th_KL_GHD;E_th_loss
27079200;159.5530591;34.47738622;33.18611752;115.4565499;0;10.18857517;0;0
27080100;157.837131;37.48946825;32.72845933;115.0223832;0;10.03083918;0;0
27081000;159.5873551;65.60192952;31.19753699;114.5613744;0;9.881627499;0;0
27081900;164.4608603;68.99675607;31.12131618;114.1974655;0;9.693917877;0;0
27082800;169.0379572;43.28442756;30.55292945;113.8350843;0;9.405447714;0;0
27083700;157.1494813;44.08059671;30.16351491;113.5150788;0;9.010242742;0;0
27084600;155.4906663;38.59860341;31.18747871;113.0718442;0;8.524180143;0;0
27085500;154.8371769;42.48700322;29.18016761;112.7023858;0;8.035076375;0;0
27086400;154.781302;38.4211692;31.08309322;112.315209;0;7.600063053;0;0
27087300;157.3184317;21.80938283;31.61078777;111.9341843;0;7.273962946;0;0
27088200;154.581674;16.78382315;33.01324038;111.5329395;0;7.065415219;0;0
27089100;151.9511192;14.00124767;33.58682044;111.3124713;0;6.942881522;0;0
27090000;151.2358684;12.83402422;31.58136513;111.1790805;0;6.858874724;0;0
27090900;153.4908643;18.92575736;30.66777976;110.2715244;0;6.783038651;0;0
27091800;155.6420497;11.76953233;29.92355655;110.3468975;0;6.705868957;0;0
27092700;173.3202977;15.1611005;28.84269427;110.283833;0;6.628098954;0;0
27093600;178.0828504;17.37874128;26.63157793;110.3247949;0;6.531945682;0;0
27094500;167.8927724;8.990926715;26.66357424;107.4272093;0;6.418883269;0;0
27095400;164.6129016;7.870181486;26.37994358;107.6060403;0;6.317199996;0;0
27096300;162.223681;10.564154;25.12717958;107.5781929;0;6.231188756;0;0
27097200;165.4270769;14.18530313;24.27125891;107.4703977;0;6.185086478;0;0
27098100;174.2083416;34.16402362;25.42578279;103.678587;0;6.188920411;0;0
27099000;161.5486633;35.30013919;26.75360776;103.947162;0;6.24866122;0;0
27099900;158.6042963;19.4621886;27.2768271;104.1011983;0;6.315331101;0;0
27100800;158.0229883;21.09394052;28.45487033;103.5994693;0;6.378199491;0;0
27101700;158.6675414;18.0570351;29.85390471;99.83875821;0;6.40663601;0;0
27102600;155.7084495;31.95190482;32.5319448;99.74084257;0;6.398127332;0;0
27103500;159.4327446;27.96950193;35.60412577;99.79260546;0;6.387323415;0;0
27104400;156.2954723;32.04101836;37.67516782;99.12354505;0;6.38764858;0;0
